genres,title,item_id,year,playtime_forever
Racing,Carmageddon Max Pack,282010,1997,9319.0
Action,Carmageddon Max Pack,282010,1997,9319.0
Classic,Carmageddon Max Pack,282010,1997,9319.0
Indie,Carmageddon Max Pack,282010,1997,9319.0
Gore,Carmageddon Max Pack,282010,1997,9319.0
1990's,Carmageddon Max Pack,282010,1997,9319.0
Multiplayer,Carmageddon Max Pack,282010,1997,9319.0
Singleplayer,Carmageddon Max Pack,282010,1997,9319.0
FPS,Half-Life,70,1998,2650946.0
Classic,Half-Life,70,1998,2650946.0
Action,Half-Life,70,1998,2650946.0
Sci-fi,Half-Life,70,1998,2650946.0
Singleplayer,Half-Life,70,1998,2650946.0
Shooter,Half-Life,70,1998,2650946.0
Aliens,Half-Life,70,1998,2650946.0
First-Person,Half-Life,70,1998,2650946.0
Multiplayer,Half-Life,70,1998,2650946.0
1990's,Half-Life,70,1998,2650946.0
Story Rich,Half-Life,70,1998,2650946.0
Adventure,Half-Life,70,1998,2650946.0
Atmospheric,Half-Life,70,1998,2650946.0
Silent Protagonist,Half-Life,70,1998,2650946.0
Great Soundtrack,Half-Life,70,1998,2650946.0
Moddable,Half-Life,70,1998,2650946.0
Linear,Half-Life,70,1998,2650946.0
Retro,Half-Life,70,1998,2650946.0
Difficult,Half-Life,70,1998,2650946.0
Funny,Half-Life,70,1998,2650946.0
Turn-Based Strategy,Disciples II: Gallean's Return,1640,2006,27162.0
Strategy,Disciples II: Gallean's Return,1640,2006,27162.0
Classic,Disciples II: Gallean's Return,1640,2006,27162.0
Atmospheric,Disciples II: Gallean's Return,1640,2006,27162.0
Dark Fantasy,Disciples II: Gallean's Return,1640,2006,27162.0
Turn-Based,Disciples II: Gallean's Return,1640,2006,27162.0
Fantasy,Disciples II: Gallean's Return,1640,2006,27162.0
Tactical,Disciples II: Gallean's Return,1640,2006,27162.0
RPG,Disciples II: Gallean's Return,1640,2006,27162.0
Gothic,Disciples II: Gallean's Return,1640,2006,27162.0
Great Soundtrack,Disciples II: Gallean's Return,1640,2006,27162.0
Multiplayer,Disciples II: Gallean's Return,1640,2006,27162.0
Isometric,Disciples II: Gallean's Return,1640,2006,27162.0
Strategy,Disciples II: Rise of the Elves,1630,2006,21105.0
Turn-Based Strategy,Disciples II: Rise of the Elves,1630,2006,21105.0
Fantasy,Disciples II: Rise of the Elves,1630,2006,21105.0
Turn-Based,Disciples II: Rise of the Elves,1630,2006,21105.0
Classic,Disciples II: Rise of the Elves,1630,2006,21105.0
RPG,Disciples II: Rise of the Elves,1630,2006,21105.0
Dark Fantasy,Disciples II: Rise of the Elves,1630,2006,21105.0
Atmospheric,Disciples II: Rise of the Elves,1630,2006,21105.0
Multiplayer,The Ship: Murder Party,2400,2006,1030947.0
Indie,The Ship: Murder Party,2400,2006,1030947.0
Action,The Ship: Murder Party,2400,2006,1030947.0
First-Person,The Ship: Murder Party,2400,2006,1030947.0
Stealth,The Ship: Murder Party,2400,2006,1030947.0
Mystery,The Ship: Murder Party,2400,2006,1030947.0
RPG,The Ship: Murder Party,2400,2006,1030947.0
Assassin,The Ship: Murder Party,2400,2006,1030947.0
Funny,The Ship: Murder Party,2400,2006,1030947.0
Survival,The Ship: Murder Party,2400,2006,1030947.0
Simulation,The Ship: Murder Party,2400,2006,1030947.0
Singleplayer,The Ship: Murder Party,2400,2006,1030947.0
FPS,The Ship: Murder Party,2400,2006,1030947.0
Strategy,The Ship: Murder Party,2400,2006,1030947.0
Comedy,The Ship: Murder Party,2400,2006,1030947.0
Adventure,The Ship: Murder Party,2400,2006,1030947.0
Shooter,The Ship: Murder Party,2400,2006,1030947.0
Difficult,The Ship: Murder Party,2400,2006,1030947.0
Replay Value,The Ship: Murder Party,2400,2006,1030947.0
Stylized,The Ship: Murder Party,2400,2006,1030947.0
Action,Advent Rising,3800,2005,13384.0
Sci-fi,Advent Rising,3800,2005,13384.0
Story Rich,Advent Rising,3800,2005,13384.0
Singleplayer,Advent Rising,3800,2005,13384.0
Third-Person Shooter,Advent Rising,3800,2005,13384.0
Great Soundtrack,Advent Rising,3800,2005,13384.0
Strategy,DEFCON,1520,2006,218144.0
Indie,DEFCON,1520,2006,218144.0
Multiplayer,DEFCON,1520,2006,218144.0
Wargame,DEFCON,1520,2006,218144.0
Cold War,DEFCON,1520,2006,218144.0
Real-Time with Pause,DEFCON,1520,2006,218144.0
RTS,DEFCON,1520,2006,218144.0
Simulation,DEFCON,1520,2006,218144.0
Atmospheric,DEFCON,1520,2006,218144.0
2D,DEFCON,1520,2006,218144.0
Diplomacy,DEFCON,1520,2006,218144.0
War,DEFCON,1520,2006,218144.0
Tactical,DEFCON,1520,2006,218144.0
Singleplayer,DEFCON,1520,2006,218144.0
Great Soundtrack,DEFCON,1520,2006,218144.0
Psychological Horror,DEFCON,1520,2006,218144.0
Action,The Ship: Single Player,2420,2006,191701.0
RPG,The Ship: Single Player,2420,2006,191701.0
Indie,The Ship: Single Player,2420,2006,191701.0
Singleplayer,The Ship: Single Player,2420,2006,191701.0
FPS,The Ship: Single Player,2420,2006,191701.0
Sandbox,Garry's Mod,4000,2006,441871026.0
Multiplayer,Garry's Mod,4000,2006,441871026.0
Funny,Garry's Mod,4000,2006,441871026.0
Moddable,Garry's Mod,4000,2006,441871026.0
Building,Garry's Mod,4000,2006,441871026.0
Co-op,Garry's Mod,4000,2006,441871026.0
Comedy,Garry's Mod,4000,2006,441871026.0
First-Person,Garry's Mod,4000,2006,441871026.0
Mod,Garry's Mod,4000,2006,441871026.0
Simulation,Garry's Mod,4000,2006,441871026.0
Online Co-Op,Garry's Mod,4000,2006,441871026.0
FPS,Garry's Mod,4000,2006,441871026.0
Singleplayer,Garry's Mod,4000,2006,441871026.0
Physics,Garry's Mod,4000,2006,441871026.0
Action,Garry's Mod,4000,2006,441871026.0
Indie,Garry's Mod,4000,2006,441871026.0
Shooter,Garry's Mod,4000,2006,441871026.0
Animation & Modeling,Garry's Mod,4000,2006,441871026.0
Adventure,Garry's Mod,4000,2006,441871026.0
Massively Multiplayer,Garry's Mod,4000,2006,441871026.0
Racing,RACE - The WTCC Game,4230,2006,80951.0
Simulation,RACE - The WTCC Game,4230,2006,80951.0
Casual,Zen of Sudoku,4900,2006,154.0
Indie,Zen of Sudoku,4900,2006,154.0
Puzzle,Zen of Sudoku,4900,2006,154.0
Casual,Gumboy - Crazy Adventures™,2520,2006,1339.0
Indie,Gumboy - Crazy Adventures™,2520,2006,1339.0
Singleplayer,Gumboy - Crazy Adventures™,2520,2006,1339.0
Strategy,Ghost Master®,6200,2003,42986.0
Comedy,Ghost Master®,6200,2003,42986.0
Puzzle,Ghost Master®,6200,2003,42986.0
Simulation,Ghost Master®,6200,2003,42986.0
