user_id,item_id,recommend,year,sentiment_analysis,playtime_forever
76561197970982479,1250,True,2011,2,10006.0
76561197970982479,22200,True,2011,2,271.0
76561197970982479,43110,True,2011,2,834.0
js41637,251610,True,2014,2,84.0
js41637,227300,True,2013,0,551.0
js41637,239030,True,2013,0,349.0
evcentric,248820,True,,2,2328.0
evcentric,370360,True,2015,2,403.0
evcentric,237930,True,2014,2,508.0
evcentric,263360,True,2014,0,447.0
evcentric,107200,True,2014,2,3225.0
evcentric,224500,True,2014,2,13618.0
doctr,250320,True,2013,2,778.0
doctr,20920,True,2012,2,2981.0
doctr,204100,True,2012,2,5297.0
doctr,207610,True,2012,0,1972.0
doctr,108710,True,2012,2,1185.0
maplemage,211420,True,2014,1,12347.0
maplemage,211820,True,2013,2,3436.0
maplemage,730,True,2014,2,13955.0
maplemage,204300,True,2013,2,17589.0
MeaTCompany,730,True,,0,18481.0
76561198089393905,72850,True,2015,0,37776.0
76561198156664158,252950,True,,2,16470.0
76561198077246154,304930,True,2014,1,25150.0
WeiEDKrSat,4000,True,2013,1,16441.0
thequeenpanda,42910,True,2012,1,1219.0
death-hunter,232090,True,2015,2,3789.0
death-hunter,4000,True,2014,2,243840.0
DJKamBer,304930,True,2014,0,770.0
DJKamBer,218620,True,2015,2,25804.0
DJKamBer,224260,True,2013,2,7366.0
DJKamBer,1250,True,2013,2,2851.0
Rainbow-Dashie,730,True,2015,2,21385.0
76561198043472122,33440,False,2014,0,22.0
MarbleShrine,220200,True,2015,2,8592.0
PPanther,211820,True,2014,2,11721.0
devvonst,218740,True,2014,1,29.0
devvonst,550,True,2015,2,7022.0
Fr0stedLine,220,True,,2,272.0
76561198058373434,8870,True,2015,1,962.0
76561198048353577,368230,True,2015,0,602.0
76561198048353577,4000,True,,2,84234.0
76561198048353577,33930,True,2013,2,6684.0
76561198066046412,359320,False,2015,0,635.0
76561198066046412,219640,True,2015,2,47800.0
tru_mu_,287980,True,2015,2,620.0
76561198070565427,218620,True,,1,9813.0
76561198070565427,208090,True,2015,1,944.0
76561198070565427,224260,True,2014,1,3061.0
SavageEeEe,221100,True,2015,2,54642.0
KanadeTheNeko,331470,True,2014,2,45.0
KanadeTheNeko,4000,True,2014,2,44455.0
Leaf_Light_Moscow,323370,True,,2,390.0
GoAwayZach,304930,True,2014,2,8496.0
76561198054540475,12210,True,2015,2,6784.0
76561198054540475,265210,True,2014,1,150.0
76561198054540475,48700,True,2014,2,8044.0
76561198085547365,238460,True,,2,667.0
76561198085547365,34900,True,,2,30.0
76561198061252210,730,True,2015,2,41281.0
OfficialShroomsy,113200,True,2013,0,1319.0
boydeer,383080,False,2015,1,121.0
VVillis,213670,True,2015,1,132.0
76561198083226897,105600,True,2015,0,12932.0
76561198075277292,730,True,2015,1,43739.0
76561198028895010,231180,True,2013,2,1107.0
76561198028895010,620,True,2012,2,1903.0
76561198170198366,271290,True,,2,416.0
diego9031,4000,True,,1,21928.0
diego9031,317360,True,,1,143.0
diego9031,223710,True,2015,1,30.0
diego9031,299360,True,2015,1,577.0
diego9031,1250,True,2015,1,1204.0
diego9031,12100,True,2015,1,603.0
diego9031,204360,True,2015,2,665.0
diego9031,224260,True,2013,2,1116.0
76561198078738103,304930,True,,0,2154.0
76561198070194565,233250,True,2014,1,3474.0
76561198070194565,449140,True,,1,361.0
76561198070194565,368730,True,,1,33.0
76561198070194565,246280,True,,1,827.0
76561198070194565,427270,True,,2,379.0
76561198070194565,397100,True,,1,755.0
76561198070194565,248570,True,2015,1,1039.0
Rivtex,298630,True,2015,1,5145.0
UTNerd24,244210,True,2014,0,128.0
UTNerd24,376920,True,2015,2,20.0
UTNerd24,257750,True,2015,1,43.0
UTNerd24,221910,True,2014,0,164.0
UTNerd24,2280,True,2013,2,27.0
sandwiches1,417860,False,2015,1,55.0
Life-Of-Blu,377160,True,2015,2,4509.0
Life-Of-Blu,211820,True,2013,2,8729.0
CaptianAutismo,252490,True,2015,2,26620.0
TheDropix101,242920,True,,2,1075.0
kube134,251990,True,2014,2,181.0
iamthekingofbrowntown,344760,False,2015,0,917.0
iamthekingofbrowntown,252950,True,2015,1,5512.0
iamthekingofbrowntown,236430,True,,1,2649.0
MainScout,550,True,,2,22568.0
yookobz,377160,True,2015,2,3899.0
yookobz,219150,True,2013,2,353.0
Posiblydead,277430,True,2014,2,335.0
Posiblydead,239820,True,2014,2,483.0
Posiblydead,17410,True,2012,2,1146.0
76561198102421718,270550,True,2015,2,117.0
76561198102421718,274940,True,2015,2,1156.0
76561198102421718,333930,True,2015,0,1454.0
76561198056741844,730,True,2014,1,37986.0
sad-commie,294100,True,,0,12272.0
sad-commie,212070,True,2014,2,324.0
sad-commie,264140,True,2014,2,1272.0
76561198030567998,332800,True,2014,1,22.0
76561198030567998,319630,True,2015,2,2092.0
76561198030567998,6020,True,2015,1,1884.0
76561198030567998,55230,True,2015,2,12749.0
76561198030567998,32430,True,2014,2,2748.0
Coldaniel,35450,True,2015,2,7635.0
Coldaniel,236390,True,2015,2,20531.0
therealmorty,351570,True,2015,2,1.0
therealmorty,212680,True,2015,0,365.0
Berserklejerker,391540,True,2015,1,1643.0
76561198061730629,550,True,2014,2,6287.0
possessioniskey,72850,True,2015,2,5648.0
76561198060447950,200510,True,2015,2,2190.0
whiteofwolfing,730,True,2015,2,94334.0
sergarino,383080,True,2015,1,39080.0
76561198081962345,200210,True,,2,30338.0
76561198073210139,304050,True,,0,153.0
Nozomikat,265610,True,2015,0,966.0
Nozomikat,264200,True,2014,1,151.0
Nozomikat,417860,True,2015,0,42.0
Nozomikat,333600,True,2015,2,196.0
Nozomikat,213670,True,2014,2,2764.0
Nozomikat,91310,True,2013,2,3979.0
Nozomikat,437220,False,,0,4859.0
Nozomikat,210770,True,2013,0,227.0
xfluttersx,351640,True,2015,2,388.0
xfluttersx,202530,False,,2,29.0
xfluttersx,105600,True,2012,2,2982.0
xfluttersx,47870,True,2013,2,639.0
xfluttersx,383080,True,2015,2,203.0
76561198056290589,730,True,2014,2,55168.0
ii_voltage_ii,253710,False,2014,0,15.0
ii_voltage_ii,339280,True,2015,2,1024.0
ii_voltage_ii,271290,True,2014,2,455.0
ii_voltage_ii,203290,True,2013,2,1202.0
Hirukaz,550,True,2013,0,4397.0
StelerForYou,730,True,2015,2,172753.0
StelerForYou,211820,True,2013,2,6071.0
Xx-Woods,346330,False,,1,38.0
Xx-Woods,224260,True,2015,2,1253.0
Xx-Woods,295550,True,2014,2,971.0
Xx-Woods,250180,True,2014,1,326.0
Xx-Woods,227940,True,2014,1,795.0
kevinator23,320760,True,2015,0,705.0
kevinator23,8850,True,2015,2,1702.0
kevinator23,233720,True,2014,0,419.0
kevinator23,218620,True,2015,0,21461.0
kevinator23,730,True,2015,2,21527.0
kevinator23,219740,True,2015,2,1290.0
kevinator23,220240,True,2014,2,3678.0
76561198090715178,4000,True,2014,2,9098.0
76561198090715178,304930,True,2014,2,2503.0
76561198073784601,221100,True,2015,2,45855.0
mimimomoma,730,True,2015,0,119850.0
de_Butl3r,209870,True,2014,0,15802.0
